"Timestamp","flip [1]","flip [2]","flip [3]","flip [4]","flip [5]","flip [6]","flip [7]","flip [8]","flip [9]","flip [10]"
"2022/01/18 10:10:14 AM MST","heads","tails","heads","tails","heads","tails","heads","heads","tails","heads"
"2022/01/18 10:10:25 AM MST","heads","heads","tails","tails","tails","heads","heads","tails","tails","heads"
"2022/01/18 3:47:42 PM MST","tails","heads","heads","heads","heads","heads","tails","heads","heads","tails"
"2022/01/18 4:13:23 PM MST","tails","heads","heads","tails","tails","tails","heads","heads","tails","tails"
"2022/01/18 4:13:29 PM MST","heads","heads","heads","tails","tails","tails","tails","heads","heads","heads"
"2022/01/18 4:13:31 PM MST","heads","heads","heads","heads","tails","tails","tails","tails","tails","heads"
"2022/01/18 4:13:34 PM MST","tails","heads","tails","heads","heads","tails","tails","heads","heads","tails"
"2022/01/18 4:13:35 PM MST","heads","heads","heads","tails","tails","tails","tails","tails","tails","heads"
"2022/01/18 4:13:37 PM MST","heads","tails","tails","heads","tails","tails","tails","heads","heads","heads"
"2022/01/18 4:13:38 PM MST","tails","heads","heads","heads","heads","tails","heads","tails","tails","tails"
"2022/01/18 4:13:38 PM MST","heads","tails","tails","tails","tails","tails","heads","heads","tails","heads"
"2022/01/18 4:13:38 PM MST","tails","heads","tails","tails","heads","tails","tails","heads","tails","heads"
"2022/01/18 4:13:39 PM MST","tails","tails","heads","tails","tails","tails","heads","heads","heads","heads"
"2022/01/18 4:13:42 PM MST","heads","tails","heads","heads","heads","heads","tails","tails","tails","tails"
"2022/01/18 4:13:43 PM MST","tails","tails","heads","tails","tails","tails","tails","heads","heads","tails"
"2022/01/18 4:13:44 PM MST","heads","heads","tails","tails","heads","tails","tails","heads","tails","heads"
"2022/01/18 4:13:45 PM MST","heads","heads","tails","tails","heads","tails","heads","heads","tails","heads"
"2022/01/18 4:13:51 PM MST","heads","heads","tails","tails","tails","heads","heads","tails","tails","tails"
"2022/01/18 4:13:52 PM MST","heads","heads","tails","tails","tails","heads","tails","heads","heads","tails"
"2022/01/18 4:13:53 PM MST","tails","heads","heads","tails","heads","tails","heads","tails","tails","tails"
"2022/01/18 4:13:56 PM MST","tails","tails","heads","tails","tails","tails","heads","tails","heads","tails"
"2022/01/18 4:13:56 PM MST","heads","heads","heads","heads","heads","tails","heads","tails","tails","heads"
"2022/01/18 4:13:58 PM MST","heads","tails","heads","heads","heads","tails","heads","tails","heads","heads"
"2022/01/18 4:14:02 PM MST","heads","tails","tails","heads","heads","heads","tails","heads","tails","heads"
"2022/01/18 4:14:03 PM MST","heads","heads","heads","heads","tails","tails","heads","tails","tails","heads"
"2022/01/18 4:14:05 PM MST","tails","tails","heads","heads","heads","tails","heads","tails","heads","tails"
"2022/01/18 4:14:10 PM MST","heads","heads","tails","heads","tails","tails","heads","tails","heads","tails"
"2022/01/18 4:14:11 PM MST","heads","tails","heads","heads","tails","heads","tails","heads","heads","heads"
"2022/01/18 4:14:12 PM MST","heads","tails","heads","heads","heads","tails","tails","heads","heads","tails"
"2022/01/18 4:14:13 PM MST","heads","heads","heads","heads","tails","heads","heads","heads","heads","heads"
"2022/01/18 4:14:16 PM MST","tails","tails","tails","heads","tails","tails","tails","heads","tails","heads"
"2022/01/18 4:14:16 PM MST","tails","heads","tails","heads","heads","heads","heads","tails","tails","tails"
"2022/01/18 4:14:16 PM MST","heads","tails","heads","heads","heads","tails","heads","heads","tails","heads"
"2022/01/18 4:14:17 PM MST","tails","heads","tails","tails","tails","heads","heads","tails","heads","tails"
"2022/01/18 4:14:19 PM MST","tails","heads","tails","tails","tails","tails","heads","tails","tails","tails"
"2022/01/18 4:14:19 PM MST","heads","heads","tails","tails","heads","heads","heads","tails","tails","heads"
"2022/01/18 4:14:22 PM MST","tails","tails","heads","tails","tails","tails","heads","tails","tails","tails"
"2022/01/18 4:14:22 PM MST","tails","tails","heads","tails","heads","heads","heads","tails","heads","tails"
"2022/01/18 4:14:23 PM MST","tails","heads","heads","heads","heads","tails","tails","tails","tails","tails"
"2022/01/18 4:14:23 PM MST","heads","tails","tails","tails","tails","heads","tails","heads","heads","heads"
"2022/01/18 4:14:24 PM MST","tails","tails","heads","heads","heads","tails","heads","tails","heads","tails"
"2022/01/18 4:14:25 PM MST","tails","heads","tails","tails","tails","heads","heads","heads","heads","tails"
"2022/01/18 4:14:25 PM MST","tails","heads","tails","heads","heads","tails","tails","heads","tails","tails"
"2022/01/18 4:14:27 PM MST","tails","tails","heads","heads","heads","tails","heads","heads","tails","heads"
"2022/01/18 4:14:28 PM MST","tails","tails","tails","tails","heads","tails","heads","tails","heads","heads"
"2022/01/18 4:14:31 PM MST","tails","tails","tails","heads","heads","heads","tails","heads","tails","heads"
"2022/01/18 4:14:33 PM MST","tails","heads","tails","heads","tails","tails","tails","heads","tails","tails"
"2022/01/18 4:14:34 PM MST","tails","heads","tails","heads","heads","heads","heads","heads","heads","heads"
"2022/01/18 4:14:34 PM MST","heads","heads","heads","heads","tails","tails","heads","tails","tails","heads"
"2022/01/18 4:14:37 PM MST","tails","heads","tails","tails","tails","tails","heads","tails","heads","tails"
"2022/01/18 4:14:37 PM MST","heads","heads","tails","tails","heads","tails","tails","tails","heads","tails"
"2022/01/18 4:14:38 PM MST","tails","heads","tails","tails","tails","tails","tails","tails","heads","heads"
"2022/01/18 4:14:41 PM MST","tails","tails","heads","heads","heads","heads","heads","heads","heads","heads"
