time,total_pgfaults
1645219604.6493068,817396227
1645219604.9838922,817396970
1645219605.3184023,817397715
1645219605.65289,817398459
1645219605.9873762,817399209
1645219606.3218532,817399947
1645219606.6563306,817400694
1645219606.9908218,817401437
1645219607.3252866,817402178
1645219607.6597571,817402924
1645219607.9942589,817403668
1645219608.32874,817404410
1645219608.663253,817405155
1645219608.9977338,817405901
1645219609.3322496,817406645
1645219609.6667233,817407387
1645219610.0012498,817408149
1645219610.3357291,817408895
1645219610.670253,817409661
1645219611.0051212,817410406
1645219611.339596,817411153
1645219611.6740682,817411903
1645219612.0085516,817412645
1645219612.3430321,817413388
1645219612.6775122,817414131
1645219613.0119905,817414882
1645219613.3464642,817415626
1645219613.6809406,817416372
1645219614.015428,817417119
1645219614.3498948,817417861
1645219614.6843038,817418606
1645219615.0187824,817419354
1645219615.353272,817420378
1645219615.6878166,817421623
1645219616.0223145,817422371
1645219616.356465,817423124
1645219616.6909611,817423870
1645219617.0254476,817424620
1645219617.3598251,817426678
1645219617.6944702,817427582
1645219618.0290775,817428332
1645219618.3742447,817429078
1645219618.708731,817429823
1645219619.0432315,817430566
1645219619.377697,817431310
1645219619.712225,817432057
1645219620.0467007,817432805
1645219620.381199,817433569
1645219620.7158062,817434315
1645219621.0502973,817435058
1645219621.3847263,817435810
1645219621.7192857,817436554
1645219622.0537643,817437300
1645219622.3882508,817438044
1645219622.7227302,817438793
1645219623.0572464,817439537
1645219623.391732,817440315
1645219623.726257,817441062
1645219624.060738,817441805
1645219624.3952475,817442557
1645219624.7297325,817443302
1645219625.0642421,817444050
1645219625.3987017,817445019
1645219625.733279,817448553
1645219626.0680923,817449300
1645219626.4025972,817450054
1645219626.7370837,817450801
1645219627.0715663,817451548
1645219627.406085,817452295
1645219627.740569,817453045
1645219628.075053,817453790
1645219628.4095397,817454537
1645219628.7440143,817455285
1645219629.0784855,817456028
1645219629.4129553,817456775
1645219629.747463,817457520
1645219630.081927,817458271
1645219630.416467,817459042
1645219630.7509644,817459786
1645219631.0855525,817460535
1645219631.4200501,817461283
1645219631.7545345,817462032
1645219632.0890074,817462779
1645219632.4235215,817463526
1645219632.7579973,817464271
1645219633.0924792,817465018
1645219633.4269595,817465765
1645219633.7614436,817466513
1645219634.095919,817467263
1645219634.4303997,817468181
1645219634.7649071,817468926
1645219635.0993845,817469675
1645219635.433895,817470637
1645219635.7684536,817471386
1645219636.1029313,817472132
1645219636.437406,817472883
1645219636.7718809,817473631
1645219637.1063647,817474382
1645219637.440828,817475128
1645219637.7752943,817475879
1645219638.1097631,817476628
1645219638.444244,817477377
1645219638.7787132,817478122
1645219639.1132412,817478869
1645219639.447714,817479614
1645219639.7822323,817480366
1645219640.1167004,817481117
1645219640.4512334,817481878
1645219640.7857285,817482620
1645219641.120238,817483367
1645219641.4547055,817484120
1645219641.7892275,817484866
1645219642.1237092,817485613
1645219642.4581864,817486360
1645219642.7926562,817487112
1645219643.1271222,817487858
1645219643.4616292,817488608
1645219643.7960954,817489352
1645219644.1304927,817490102
1645219644.4649622,817490847
1645219644.7994397,817491590
1645219645.134146,817492340
1645219645.4686754,817493090
1645219645.8031535,817494166
1645219646.1375942,817494898
1645219646.4719944,817495653
1645219646.8064842,817496402
1645219647.140959,817497149
1645219647.4754689,817497899
1645219647.8099456,817498654
1645219648.1444557,817499406
1645219648.478923,817500157
1645219648.8134034,817500903
1645219649.147872,817501654
1645219649.4823499,817502399
1645219649.8168192,817503149
1645219650.1512966,817503902
1645219650.485769,817504671
1645219650.8202605,817505419
1645219651.1547415,817506188
1645219651.4892526,817506943
1645219651.8237333,817507713
1645219652.1583378,817508466
1645219652.4928195,817509216
1645219652.8272963,817509965
1645219653.1617637,817511537
1645219653.4963293,817511912
1645219653.8308153,817512261
1645219654.1653357,817512610
1645219654.4998066,817512958
1645219654.8342779,817513303
1645219655.1687057,817513656
1645219655.5032356,817514208
1645219655.837718,817517343
1645219656.1724186,817517711
1645219656.506906,817518082
1645219656.8414035,817518429
1645219657.1758714,817518776
1645219657.5103498,817519125
1645219657.8448346,817519476
1645219658.179376,817519825
1645219658.5138392,817520175
1645219658.848312,817520523
1645219659.1827915,817520872
1645219659.5172706,817521221
1645219659.8517368,817521572
1645219660.1862519,817521948
1645219660.520735,817522297
1645219660.8552568,817522646
1645219661.189725,817522996
1645219661.5242493,817523349
1645219661.8587308,817523695
1645219662.1932428,817524046
1645219662.527714,817524392
1645219662.862172,817524740
1645219663.1966758,817525086
1645219663.531146,817525655
1645219663.8656616,817526005
1645219664.2001405,817526352
1645219664.5346491,817526701
1645219664.8691182,817527047
1645219665.2036211,817527407
1645219665.5380948,817527755
1645219665.8724964,817528106
1645219666.2069652,817528455
1645219666.5414727,817528810
1645219666.8759463,817529164
1645219667.2104602,817530317
1645219667.5449033,817530751
1645219667.8794568,817531100
1645219668.2139413,817531447
1645219668.5485153,817531801
1645219668.8829825,817532150
1645219669.2174911,817532498
1645219669.5519602,817532844
1645219669.8864336,817533190
1645219670.2208974,817533577
1645219670.555385,817533924
1645219670.8898492,817534272
1645219671.2343314,817534618
1645219671.568802,817534976
1645219671.9032862,817535323
1645219672.237762,817535668
1645219672.5722458,817536013
1645219672.9067123,817536362
1645219673.2412367,817536709
1645219673.5757105,817537056
1645219673.910243,817537405
1645219674.244958,817537752
1645219674.5794606,817538102
1645219674.9139285,817538453
1645219675.2484112,817538805
1645219675.582888,817539151
1645219675.9173982,817539499
1645219676.2518585,817539846
1645219676.5863264,817540199
1645219676.920787,817540548
1645219677.2552643,817540893
1645219677.5897198,817541240
1645219677.9242525,817541589
1645219678.2587433,817541934
1645219678.5934675,817542283
1645219678.9279382,817542632
1645219679.2624454,817542981
1645219679.596947,817543331
1645219679.9314306,817543678
1645219680.2659013,817544051
1645219680.6004155,817544398
1645219680.9348881,817544750
1645219681.2693756,817545100
1645219681.603887,817545451
