time,ping
1645218980.2291882,0.277 ms
1645218980.5668905,0.160 ms
1645218980.9025967,0.162 ms
1645218981.2381673,0.173 ms
1645218981.5737457,0.184 ms
1645218981.909442,0.188 ms
1645218982.2453032,0.201 ms
1645218982.5808482,0.138 ms
1645218982.9163697,0.194 ms
1645218983.2523718,0.188 ms
1645218983.588024,0.184 ms
1645218983.9236586,0.160 ms
1645218984.259351,0.210 ms
1645218984.5949533,0.163 ms
1645218984.9305449,0.191 ms
1645218985.2661583,0.167 ms
1645218985.601709,0.161 ms
1645218985.9374564,0.184 ms
1645218986.2730715,0.200 ms
1645218986.608734,0.186 ms
1645218986.9443736,0.179 ms
1645218987.280008,0.158 ms
1645218987.6156402,0.137 ms
1645218987.951182,0.177 ms
1645218988.2867682,0.158 ms
1645218988.622447,0.191 ms
1645218988.9580293,0.160 ms
1645218989.2935834,0.171 ms
1645218989.629152,0.174 ms
1645218989.9646811,0.202 ms
1645218990.300304,0.199 ms
1645218990.6359406,0.137 ms
1645218990.9714267,0.196 ms
1645218991.3069427,0.162 ms
1645218991.6424787,0.177 ms
1645218991.9780207,0.166 ms
1645218992.3134658,0.189 ms
1645218992.649032,0.180 ms
1645218992.9847267,0.162 ms
1645218993.320401,0.159 ms
1645218993.6559951,0.161 ms
1645218993.9916565,0.203 ms
1645218994.3273613,0.143 ms
1645218994.6629035,0.142 ms
1645218994.9985523,0.188 ms
1645218995.3348215,0.207 ms
1645218995.6705384,0.186 ms
1645218996.0061302,0.204 ms
1645218996.3417299,0.177 ms
1645218996.6773984,0.161 ms
1645218997.0129912,0.167 ms
1645218997.348552,0.172 ms
1645218997.6842058,0.165 ms
1645218998.0198305,0.195 ms
1645218998.3554943,0.167 ms
1645218998.6910253,0.168 ms
1645218999.0266504,0.209 ms
1645218999.362322,0.142 ms
1645218999.6978528,0.140 ms
1645219000.033432,0.164 ms
1645219000.3690681,0.136 ms
1645219000.7044828,0.142 ms
1645219001.040004,0.138 ms
1645219001.375453,0.141 ms
1645219001.7110062,0.183 ms
1645219002.0466616,0.163 ms
1645219002.3823304,0.222 ms
1645219002.7179632,0.164 ms
1645219003.0536952,0.171 ms
1645219003.3893092,0.143 ms
1645219003.7248578,0.190 ms
1645219004.0604913,0.138 ms
1645219004.396063,0.194 ms
1645219004.7314785,0.192 ms
1645219005.0671012,0.195 ms
1645219005.4024754,0.139 ms
1645219005.7379832,0.166 ms
1645219006.0737293,0.184 ms
1645219006.4093955,0.205 ms
1645219006.7450373,0.140 ms
1645219007.0805256,0.201 ms
1645219007.4161446,0.187 ms
1645219007.7517698,0.161 ms
1645219008.0874302,0.141 ms
1645219008.4229758,0.163 ms
1645219008.758486,0.185 ms
1645219009.0940351,0.203 ms
1645219009.4297247,0.167 ms
1645219009.765481,0.170 ms
1645219010.1011086,0.207 ms
1645219010.4367654,0.141 ms
1645219010.7724252,0.145 ms
1645219011.1079535,0.184 ms
1645219011.4435651,0.163 ms
1645219011.7792435,0.217 ms
1645219012.1149018,0.152 ms
1645219012.4505405,0.135 ms
1645219012.7860537,0.160 ms
1645219013.1216106,0.154 ms
1645219013.4573286,0.193 ms
1645219013.792967,0.170 ms
1645219014.1285448,0.207 ms
1645219014.4641652,0.177 ms
1645219014.799783,0.166 ms
1645219015.1353793,0.200 ms
1645219015.4710069,0.188 ms
1645219015.8066602,0.142 ms
1645219016.1421793,0.131 ms
1645219016.4777977,0.096 ms
1645219016.8133159,0.156 ms
1645219017.1488657,0.173 ms
1645219017.4844468,0.142 ms
1645219017.820003,0.185 ms
1645219018.155592,0.187 ms
1645219018.4912994,0.211 ms
1645219018.826894,0.202 ms
1645219019.1624985,0.164 ms
1645219019.4981284,0.161 ms
1645219019.8337467,0.201 ms
1645219020.1694772,0.172 ms
1645219020.5051723,0.167 ms
1645219020.8407288,0.182 ms
1645219021.1763594,0.218 ms
1645219021.5119064,0.159 ms
1645219021.8475354,0.208 ms
1645219022.1831932,0.187 ms
1645219022.5187826,0.190 ms
1645219022.8544424,0.204 ms
1645219023.1901133,0.193 ms
1645219023.5257745,0.165 ms
1645219023.8614402,0.192 ms
1645219024.197064,0.143 ms
1645219024.5325468,0.170 ms
1645219024.8681114,0.213 ms
1645219025.203815,0.180 ms
1645219025.5397034,0.204 ms
1645219025.8755898,0.199 ms
1645219026.2113016,0.143 ms
1645219026.54683,0.186 ms
1645219026.8824902,0.192 ms
1645219027.218614,0.184 ms
1645219027.5541897,0.187 ms
1645219027.8898199,0.194 ms
1645219028.2254932,0.193 ms
1645219028.5610783,0.213 ms
1645219028.8967443,0.141 ms
1645219029.2321794,0.174 ms
1645219029.5674684,0.181 ms
1645219029.9030805,0.187 ms
1645219030.2384698,0.167 ms
1645219030.5743415,0.188 ms
1645219030.9099674,0.145 ms
1645219031.2458053,0.199 ms
1645219031.581558,0.190 ms
1645219031.9172182,0.216 ms
1645219032.2528982,0.188 ms
1645219032.588472,0.192 ms
1645219032.9240966,0.174 ms
1645219033.259474,0.174 ms
1645219033.5950792,0.165 ms
1645219033.9307008,0.159 ms
1645219034.2664154,0.190 ms
1645219034.6020432,0.164 ms
1645219034.9376996,0.199 ms
1645219035.2734263,0.205 ms
1645219035.6090589,0.209 ms
1645219035.9447029,0.161 ms
1645219036.2804255,0.191 ms
1645219036.6160388,0.158 ms
1645219036.9515405,0.148 ms
1645219037.28708,0.169 ms
1645219037.6226895,0.143 ms
1645219037.9583502,0.143 ms
1645219038.2938788,0.216 ms
1645219038.6295013,0.140 ms
1645219038.9650412,0.163 ms
1645219039.3007395,0.164 ms
1645219039.6363978,0.200 ms
1645219039.9720137,0.201 ms
1645219040.3076012,0.177 ms
1645219040.6431427,0.150 ms
1645219040.9786434,0.200 ms
1645219041.3143542,0.191 ms
1645219041.6499913,0.164 ms
1645219041.9854777,0.168 ms
1645219042.3210573,0.212 ms
1645219042.6566923,0.139 ms
1645219042.9923456,0.182 ms
1645219043.3279781,0.163 ms
1645219043.6636329,0.144 ms
1645219043.9991674,0.176 ms
1645219044.3346934,0.171 ms
1645219044.670393,0.207 ms
1645219045.0060177,0.136 ms
1645219045.341481,0.184 ms
1645219045.6770637,0.197 ms
1645219046.0127127,0.172 ms
1645219046.3483922,0.185 ms
1645219046.6840172,0.161 ms
1645219047.0195122,0.143 ms
1645219047.3550112,0.198 ms
1645219047.6906796,0.182 ms
1645219048.0263503,0.190 ms
1645219048.3619776,0.196 ms
1645219048.6976273,0.216 ms
1645219049.0333152,0.155 ms
1645219049.3688703,0.206 ms
1645219049.7046208,0.138 ms
1645219050.0401464,0.195 ms
1645219050.3757172,0.169 ms
1645219050.7113352,0.207 ms
1645219051.046959,0.135 ms
1645219051.382446,0.170 ms
1645219051.718022,0.181 ms
1645219052.0536904,0.139 ms
1645219052.3893192,0.141 ms
1645219052.7248135,0.162 ms
1645219053.0604746,0.139 ms
1645219053.396045,0.199 ms
1645219053.731716,0.198 ms
1645219054.0674677,0.160 ms
1645219054.4031005,0.184 ms
1645219054.7386556,0.168 ms
1645219055.0743587,0.165 ms
1645219055.4101844,0.139 ms
1645219055.7454603,0.199 ms
1645219056.0810997,0.184 ms
1645219056.416465,0.171 ms
1645219056.7519307,0.161 ms
1645219057.0876112,0.142 ms
1645219057.4231539,0.201 ms
1645219057.7588165,0.167 ms
1645219058.0944624,0.159 ms
1645219058.4299817,0.167 ms
1645219058.765469,0.195 ms
1645219059.1010861,0.184 ms
1645219059.4364643,0.141 ms
1645219059.772006,0.161 ms
1645219060.1076486,0.168 ms
1645219060.4433482,0.138 ms
1645219060.7788768,0.187 ms
1645219061.1144645,0.171 ms
1645219061.4499753,0.174 ms
1645219061.785668,0.189 ms
1645219062.1213846,0.169 ms
1645219062.4571593,0.183 ms
1645219062.792471,0.146 ms
1645219063.128345,0.207 ms
1645219063.4639828,0.171 ms
1645219063.7996752,0.178 ms
1645219064.1353354,0.201 ms
1645219064.4709733,0.201 ms
1645219064.8066618,0.143 ms
1645219065.1421676,0.146 ms
1645219065.4777086,0.192 ms
1645219065.813365,0.160 ms
1645219066.1489458,0.166 ms
1645219066.4846692,0.144 ms
1645219066.8201752,0.196 ms
1645219067.15577,0.191 ms
1645219067.4914343,0.142 ms
1645219067.8269768,0.177 ms
1645219068.1625855,0.201 ms
1645219068.4981878,0.205 ms
1645219068.8334696,0.143 ms
1645219069.1690466,0.200 ms
1645219069.5047185,0.170 ms
1645219069.8403654,0.168 ms
1645219070.1759763,0.206 ms
1645219070.5117598,0.140 ms
1645219070.8473961,0.199 ms
1645219071.1830394,0.159 ms
1645219071.5184598,0.186 ms
1645219071.8540907,0.161 ms
1645219072.189828,0.191 ms
1645219072.525634,0.162 ms
1645219072.8613286,0.202 ms
1645219073.19689,0.192 ms
1645219073.5324764,0.182 ms
1645219073.8680582,0.159 ms
1645219074.2037842,0.197 ms
1645219074.5394602,0.140 ms
1645219074.8750098,0.176 ms
1645219075.2106853,0.169 ms
1645219075.5463295,0.140 ms
1645219075.8818545,0.162 ms
1645219076.217558,0.193 ms
1645219076.5531635,0.158 ms
1645219076.888761,0.204 ms
1645219077.2244923,0.144 ms
1645219077.5600324,0.180 ms
1645219077.895712,0.193 ms
1645219078.2313805,0.141 ms
1645219078.5669363,0.190 ms
1645219078.9025407,0.140 ms
1645219079.2384045,0.126 ms
1645219079.5739312,0.186 ms
1645219079.9094765,0.163 ms
1645219080.2451136,0.207 ms
1645219080.5808787,0.205 ms
1645219080.9165332,0.167 ms
1645219081.2521045,0.165 ms
1645219081.587679,0.197 ms
1645219081.9234338,0.149 ms
1645219082.2590036,0.191 ms
1645219082.5946522,0.144 ms
1645219082.9302473,0.142 ms
1645219083.2657895,0.167 ms
1645219083.601546,0.188 ms
1645219083.9371827,0.210 ms
1645219084.272862,0.184 ms
1645219084.6085758,0.202 ms
1645219084.944209,0.143 ms
1645219085.2798102,0.172 ms
1645219085.6157296,0.168 ms
1645219085.9514933,0.160 ms
1645219086.287098,0.190 ms
1645219086.6226022,0.208 ms
1645219086.9582784,0.211 ms
1645219087.293933,0.163 ms
1645219087.6294744,0.143 ms
1645219087.9650102,0.169 ms
1645219088.3005714,0.189 ms
1645219088.6363163,0.198 ms
1645219088.9719207,0.172 ms
1645219089.3074706,0.210 ms
1645219089.643046,0.167 ms
1645219089.9787087,0.169 ms
1645219090.3144162,0.208 ms
1645219090.6500793,0.215 ms
1645219090.9857564,0.210 ms
1645219091.3215368,0.207 ms
1645219091.657168,0.184 ms
1645219091.9927592,0.179 ms
1645219092.3284173,0.212 ms
1645219092.664054,0.166 ms
1645219092.9996955,0.199 ms
1645219093.3353508,0.205 ms
1645219093.670954,0.171 ms
1645219094.0065615,0.210 ms
1645219094.342301,0.212 ms
1645219094.6779523,0.185 ms
1645219095.013573,0.168 ms
1645219095.349184,0.140 ms
1645219095.6849947,0.142 ms
1645219096.0213835,0.202 ms
1645219096.3570964,0.137 ms
1645219096.6924741,0.164 ms
1645219097.028121,0.144 ms
1645219097.3636572,0.207 ms
1645219097.6993632,0.207 ms
1645219098.035082,0.215 ms
1645219098.3707154,0.207 ms
1645219098.7064397,0.160 ms
1645219099.0420623,0.217 ms
1645219099.3777077,0.165 ms
1645219099.713377,0.190 ms
1645219100.0489686,0.169 ms
1645219100.3844652,0.179 ms
1645219100.720106,0.167 ms
1645219101.0556479,0.137 ms
