"","TRTFRIEND","TRTSPONLY","TRTCCC","TRTALONE","TRTFAMILY","TRCHILDNUM","TRERNHLY","TRERNWA","TUCC2","TUCC4"
"7857",0,0,0,335,0,0,16.89,1524.4,480,1185
"1357",0,240,0,90,778,2,14,450,600,1290
"3568",0,0,0,870,0,0,10,1850,480,1290
"4857",0,0,0,840,0,0,18,2884.61,450,1320
"1976",0,0,0,0,420,2,25,2612.5,510,1230
"7989",0,285,0,375,285,0,15,675,420,1290
"7604",0,780,0,360,780,0,24.96,769.23,600,1335
"7050",0,105,0,385,395,2,25.4,600,480,1320
"933",0,210,0,180,605,1,13,560,420,1230
"6841",0,0,0,90,190,2,30,1730.76,300,1380
"1475",0,0,0,645,0,0,25,1730.76,600,1260
"5465",0,625,0,260,625,0,37,1250,600,1320
"1816",0,0,0,360,0,0,20,539,345,0
"5772",0,0,0,780,0,2,13.75,1636.36,360,1290
"3408",0,378,0,150,468,2,12,800,420,1200
"7471",0,360,0,315,360,0,23,112,420,1200
"3025",0,0,0,355,30,1,18,300,480,1260
"3228",0,0,0,215,310,3,10.9,969.23,420,1320
"3079",0,20,0,240,420,1,12.75,600,600,1205
"8187",0,60,0,510,300,0,14,2153.84,420,1290
"703",0,0,0,752,0,0,15,1346.15,405,1290
"4030",0,274,0,671,274,0,11.5,540,390,1215
"3842",0,0,0,155,595,0,35,359.36,390,600
"5757",0,0,0,360,242,1,21,823.52,420,1200
"7600",0,660,0,195,660,0,35,807,540,1320
"8722",0,15,0,155,296,2,25,2861.11,435,1320
"521",0,0,0,201,175,4,40,1000,330,1410
"7010",130,175,0,120,810,2,19.25,1634.61,480,1230
"5202",0,0,0,15,275,2,45,1538.46,240,1110
"3023",0,0,0,840,0,0,34.85,576.92,540,1305
"5188",0,0,0,0,840,1,13.5,1225,360,1260
"5480",0,655,0,60,785,0,25,1923.07,400,1305
"7653",0,602,0,190,602,0,10,2307.69,360,1245
"6584",0,295,0,92,295,0,32,450,345,1230
"6464",0,20,0,350,140,1,11,1538.46,420,1350
"5695",0,0,0,671,0,0,40,2884.61,390,1320
"7559",0,75,0,0,135,2,11.5,1200,420,1110
"3396",0,625,0,50,715,0,12,202.5,420,1200
"8",0,60,0,195,584,1,20,1826.92,570,1350
"2613",0,450,0,0,900,0,13,520,420,1290
"2899",0,167,0,443,427,0,95,750,240,1320
"1304",0,0,0,155,710,2,2.3,1076.92,345,1305
"1004",0,0,0,491,0,0,18,108,360,1290
"6263",0,240,0,130,565,0,15.3,795.5,330,1320
"5154",0,0,0,60,0,0,30,972.22,390,120
"5197",0,30,30,140,270,1,16,947,390,1185
"3229",0,360,0,390,360,0,12.5,76,420,1200
"5113",0,105,0,290,605,2,13,2884.61,385,1260
"6757",0,33,0,340,630,1,39.68,2876.92,420,1290
"1246",0,0,0,105,60,0,22,1480,600,1260
"1079",0,205,0,285,205,0,50,260,420,1380
"4639",0,270,0,0,580,3,10,700,315,1350
"4706",0,0,0,925,95,1,15.5,380,345,1320
"3894",0,0,0,185,645,2,11.75,2192.3,420,1320
"1362",0,0,0,770,0,0,53,387.5,420,1230
"6677",0,0,0,166,90,0,15,1557.69,375,1290
"1695",0,0,0,465,30,2,11,192.3,420,1410
"1456",0,0,0,190,595,2,17,1983.2,480,1290
"2793",0,245,0,360,510,0,11,704,690,1290
"2369",0,0,0,780,0,0,16.8,300,480,1230
"7211",0,0,0,90,690,0,23,1923.07,420,1320
"3082",0,0,0,90,990,0,17,2232,480,1260
