"","x"
"1",17.5
"2",11
"3",16.5
"4",38.94
"5",19.82
"6",33.29
"7",24.72
"8",40
"9",13
"10",30.2
"11",24
"12",50.21
"13",35
"14",30
"15",18.75
"16",40
"17",41
"18",56
"19",71
"20",13
"21",25
"22",10
"23",34
"24",17
"25",15.5
"26",10
"27",21.43
"28",36.5
"29",24.5
"30",12.5
"31",20
"32",10
"33",24
"34",7.45
"35",40
"36",45
"37",17
"38",25
"39",8.5
"40",15.94
"41",10.5
"42",11
"43",14
"44",12.5
"45",11.57
"46",16.75
"47",24.83
"48",28.53
"49",9
"50",15
"51",12
"52",11.23
"53",13
"54",21
"55",16
"56",4.7
"57",22
"58",18
"59",13
"60",12
"61",18
"62",15
"63",14
"64",12
"65",18
"66",29.32
"67",11.15
"68",15
"69",15.06
"70",40
"71",22
"72",11
"73",18
"74",18.22
"75",20.75
"76",19.2
"77",15
"78",10.5
"79",21
"80",9.96
"81",12
"82",12
"83",10.25
"84",17
"85",8.5
"86",17.5
"87",15
"88",18.98
"89",15
"90",11
"91",12
"92",15.5
"93",18
"94",9.5
"95",11.06
"96",16
"97",25.5
"98",17
"99",18
"100",15
"101",14.5
"102",13.5
"103",43
"104",12
"105",20
"106",24
"107",23
"108",50
"109",12
"110",17.5
"111",20
"112",9
"113",22
"114",35
"115",15
"116",10
"117",6.4
"118",13.25
"119",13.5
"120",45
"121",25
"122",19.5
"123",11
"124",15
"125",20
"126",12
"127",25
"128",30
"129",12.5
"130",28
"131",23
"132",13
"133",30
"134",21.43
"135",28
"136",20.5
"137",29.17
"138",12
"139",27
"140",15
"141",24.5
"142",13
"143",16.75
"144",21
"145",22
"146",57.7
"147",29
"148",15
"149",22.95
"150",43
"151",21
"152",14.5
"153",13
"154",10
"155",20
"156",10
"157",21
"158",20
"159",12.47
"160",50
"161",15
"162",42.99
"163",31
"164",9.5
"165",25.5
"166",21
"167",19.5
"168",63
"169",43
"170",33
"171",21
"172",20.25
"173",10
"174",12
"175",13.5
"176",2.65
"177",26
"178",82
"179",15.5
"180",18
"181",13
"182",11.5
"183",12.75
"184",15
"185",16.5
"186",10
"187",13
"188",18
"189",11.73
"190",19
"191",19
"192",18
"193",23
"194",23
"195",20
"196",20.67
"197",15.75
"198",8
"199",13.75
"200",13.8
"201",16.8
"202",11
"203",12
"204",25.8
"205",21
"206",45
"207",14
"208",13
"209",16
"210",16
"211",30
"212",17
"213",28
"214",20
"215",10.5
"216",50
"217",23
"218",16
"219",7.5
"220",22.8
"221",15
"222",18
"223",6.5
"224",9
"225",22
"226",2.3
"227",26
"228",7.5
"229",17
"230",15
"231",12.25
"232",12.02
"233",13.25
"234",12
"235",16
"236",11
"237",28.5
"238",11.5
"239",9.5
"240",13.25
"241",8.5
"242",12
"243",30
"244",23
"245",16.85
"246",15
"247",18
"248",20
"249",18.75
"250",25.75
"251",15.5
"252",12
"253",20
"254",15
"255",55
"256",20.5
"257",13.75
"258",32
"259",26.53
"260",46.04
"261",17.74
"262",33
"263",22
"264",11.35
"265",9.5
"266",18
"267",15
"268",14.4
"269",15.09
"270",16.35
"271",13.33
"272",35
"273",12
"274",15
"275",10
"276",10
"277",33.65
"278",11
"279",17.35
"280",23.72
"281",15
"282",37
"283",36
"284",10.49
"285",35.09
"286",9.5
"287",25
"288",16
"289",23.07
"290",8.69
"291",24
"292",38.94
"293",13
"294",19
"295",19.81
"296",46.63
"297",20
"298",17
"299",28
"300",33
"301",26
"302",19
"303",22.85
"304",14.56
"305",19.5
"306",30
"307",9
"308",13
"309",21
"310",10
"311",22.5
"312",17
"313",14
"314",28
"315",65
"316",28
"317",24.5
"318",16.5
"319",20
"320",28.83
"321",10.5
"322",13.5
"323",24
"324",13.3
"325",12.5
"326",18.3
"327",32
"328",45
"329",19.05
"330",16
"331",16
"332",21
"333",15
"334",56
"335",45
"336",18.33
"337",29.35
"338",16
"339",55
"340",17
"341",7.25
"342",25.57
"343",21.25
"344",11
"345",13.5
"346",23.5
"347",12
"348",35.5
"349",65
"350",12.72
"351",25
"352",19.2
"353",17
"354",32.5
"355",11
"356",9
"357",58.6
"358",35.2
"359",16.37
"360",13.8
"361",40
"362",19.14
"363",13.5
"364",30
"365",20
"366",21
"367",15
"368",10.5
"369",10.5
"370",10
"371",10.02
"372",13
"373",25
"374",20
"375",30.3
"376",10.1
"377",15
"378",16
"379",24
"380",40
"381",10
"382",22
"383",27.68
"384",20
"385",14.75
"386",16
"387",15.95
"388",14.83
"389",38
"390",38
"391",10
"392",20
"393",21
"394",32
"395",8.4
"396",42.62
"397",65
"398",25
"399",15
"400",18
"401",16
"402",8.25
"403",15.4
"404",17.5
"405",7.25
"406",9.5
"407",9
"408",22
"409",14.5
"410",15.76
"411",24
"412",23
"413",13.25
"414",26
"415",46.86
"416",12.75
"417",19
"418",25
"419",19.5
"420",15
"421",25
"422",18
"423",14.5
"424",32
"425",18
"426",11
"427",25
"428",36.54
"429",10
"430",38
"431",21.33
"432",18
"433",53
"434",18
"435",16
"436",13.25
"437",25
"438",31
"439",15.75
"440",14.75
"441",18
"442",7.75
"443",10
"444",8.5
"445",10
"446",17
"447",33
"448",14.09
"449",75
"450",23.6
"451",39.02
"452",24.24
"453",17
"454",31
"455",27
"456",8.5
"457",44
"458",28.25
"459",10.5
"460",18
"461",15.5
"462",35
"463",24.3
"464",17
"465",25
"466",12.25
"467",55
"468",14.5
"469",10
"470",15
"471",4.5
"472",15
"473",23
"474",7.75
"475",17
"476",11.5
"477",8
"478",12
"479",8.5
"480",11.75
"481",33
"482",10
"483",16
"484",12.5
"485",14
"486",17.5
"487",25
"488",15
"489",11
"490",38
"491",16
"492",15
"493",28
"494",10
"495",14.5
"496",6.5
"497",18
"498",11
"499",11
"500",72.4
"501",15
"502",25.96
"503",16
"504",24
"505",21
"506",12
"507",10
"508",18
"509",18
"510",10.5
"511",15
"512",23
"513",15
"514",32
"515",15
"516",27
"517",20
"518",13.06
"519",54.05
"520",33
"521",30
"522",10
"523",52.88
"524",12
"525",12.49
"526",10
"527",15.25
"528",17.5
"529",21.45
"530",18
"531",16.82
"532",20
"533",9
"534",45.99
"535",14
"536",16.5
"537",11
"538",12
"539",14.98
"540",19
"541",14.55
"542",24.5
"543",12.75
"544",20
"545",21.25
"546",11.25
"547",10
"548",20
"549",23
"550",16
"551",22
"552",13
"553",31.78
"554",42
"555",8.5
"556",19
"557",12.5
"558",10
"559",32
"560",23
"561",15
"562",12
"563",15
"564",17.06
"565",18
"566",26.24
"567",16.19
"568",8.5
"569",21.92
"570",10
"571",12
"572",11.5
"573",50
"574",15
"575",18
"576",10
"577",24
"578",18
"579",15
"580",24.3
"581",16.16
"582",10
"583",19
"584",30
"585",34
"586",10
"587",24.52
"588",64.9
"589",8.93
"590",10.1
"591",8
"592",10
"593",22.5
"594",11.65
"595",13
"596",23
"597",32
"598",78
"599",25
"600",21
"601",20.19
"602",13
"603",41
"604",19.5
"605",43
"606",40
"607",19
"608",38.5
"609",28
"610",23.5
"611",16.33
"612",27.8
"613",40
"614",19.28
"615",30
"616",18
"617",65
"618",16
"619",17.13
"620",23
"621",16.6
"622",27.89
"623",16.75
"624",35.5
"625",22
"626",15
"627",13.3
"628",36.24
"629",32
"630",18
"631",16.02
"632",16
"633",12.74
"634",23
"635",42
"636",20.69
"637",30
"638",18.75
"639",18
"640",10.5
"641",20
"642",15
"643",17.9
"644",17.5
"645",40
"646",9
"647",21.48
"648",15
"649",31.98
"650",38.5
"651",14
"652",19.69
"653",18.5
"654",18
"655",15.83
"656",8
"657",13
"658",12.6
"659",16.38
"660",14
"661",10
"662",63.45
"663",37
"664",13.75
"665",10
"666",18
"667",25
"668",26
"669",16
"670",37
"671",16
"672",12
"673",58.25
"674",9.5
"675",10.5
"676",19.5
"677",17
"678",15
"679",18.65
"680",54
"681",8
"682",21
"683",34
"684",15
"685",11
"686",19
"687",16.33
"688",27
"689",25
"690",14
"691",42
"692",9
"693",23
"694",19.5
"695",15
"696",20
"697",15
"698",24.15
"699",39
"700",19.71
"701",10
"702",13
"703",11
"704",40
"705",12
"706",40
"707",19
"708",12
"709",22
"710",26
"711",25
"712",50
"713",18.05
"714",19
"715",11
"716",14.5
"717",12
"718",1.01
"719",15
"720",25.31
"721",15.46
"722",11.5
"723",13.75
"724",15
"725",14.5
"726",16.38
"727",10.2
"728",43.75
"729",24
"730",20
"731",28
"732",16.5
"733",20
"734",10
"735",15
"736",13
"737",15
"738",13
"739",25
"740",15
"741",12
"742",9
"743",25
"744",5.3
"745",9
"746",15.3
"747",10
"748",19.21
"749",35
"750",18
"751",26
"752",10
"753",23
"754",25.06
"755",30
"756",18.5
"757",27
"758",23.93
"759",25
"760",18
"761",39
"762",9
"763",22
"764",15
"765",16.5
"766",30
"767",39.7
"768",15.77
"769",20
"770",14.8
"771",4.95
"772",18
"773",23
"774",31
"775",12
"776",22
"777",70
"778",29.75
"779",13
"780",27.47
"781",13
"782",23
"783",11
"784",13.5
"785",47.41
"786",38
"787",12.75
"788",13.5
"789",11.85
"790",32
"791",7.5
"792",18
"793",15
"794",19.5
"795",85
"796",10.38
"797",14.75
"798",10
"799",12.5
"800",16
"801",19
"802",24.73
"803",10
"804",12
"805",14
"806",13
"807",9
"808",13
"809",25
"810",16
"811",11
"812",13
"813",23
"814",10
"815",12.75
"816",6.5
"817",4.35
"818",23
"819",29.31
"820",57
"821",30
"822",45
"823",15.5
"824",17
"825",11
"826",32
"827",14
"828",20.18
"829",20.12
"830",26
"831",37
"832",10.5
"833",16.5
"834",52.95
"835",25
"836",14.5
"837",18.5
"838",12.5
"839",21
"840",35
"841",60
"842",15
"843",20
"844",24
"845",22
"846",12
"847",14.25
"848",20
"849",16.54
"850",24.91
"851",41
"852",29
"853",39.19
"854",25
"855",42
"856",28.5
"857",28
"858",32
"859",25
"860",27.22
"861",14.5
"862",21
"863",28.13
"864",15.96
"865",17.05
"866",25
"867",78.36
"868",14
"869",11.5
"870",31
"871",62
"872",15
"873",28
"874",27
"875",17.05
"876",72.12
"877",14
"878",69.7
