"","x"
"1",2076.92
"2",315
"3",176
"4",660
"5",1519.23
"6",1751.36
"7",1000
"8",1538.46
"9",1050
"10",1826.92
"11",2000
"12",1198.44
"13",826
"14",1346.15
"15",1538.46
"16",989.8
"17",1923.07
"18",1153.84
"19",1538.46
"20",520
"21",1269.23
"22",1780
"23",1253.3
"24",877.5
"25",971.15
"26",2038.46
"27",2096.15
"28",1538.46
"29",750
"30",750
"31",1923.07
"32",1600
"33",1250
"34",1442.3
"35",2884.61
"36",2884.61
"37",1250
"38",1634.61
"39",2153.84
"40",2000
"41",1230.76
"42",2884.61
"43",520
"44",800
"45",1250
"46",1700
"47",2461.53
"48",1269.23
"49",1057.69
"50",1360
"51",1673.07
"52",680
"53",2596.15
"54",1100
"55",250
"56",850
"57",1460
"58",1442.3
"59",1346.15
"60",750
"61",1200
"62",610
"63",800
"64",865.38
"65",320
"66",769.23
"67",1250
"68",169
"69",1923.07
"70",2200
"71",1000
"72",1046
"73",1153.84
"74",750
"75",588.46
"76",250
"77",1865.38
"78",750
"79",440
"80",576.92
"81",700
"82",437.5
"83",2884.61
"84",323.96
"85",2884.61
"86",730.76
"87",670
"88",993.2
"89",2884.61
"90",1300
"91",360
"92",1346.15
"93",300
"94",144
"95",1307.69
"96",1636.36
"97",500
"98",359.36
"99",455
"100",1923.07
"101",1000
"102",1384
"103",1076.92
"104",2884.61
"105",1100
"106",849
"107",2019.23
"108",200
"109",615.38
"110",141
"111",1576.92
"112",2884.61
"113",1705
"114",720
"115",871.53
"116",1000
"117",150
"118",2884.61
"119",288
"120",1384.61
"121",500
"122",350
"123",461.53
"124",1442.3
"125",560
"126",650
"127",384
"128",720
"129",1197.8
"130",446
"131",525
"132",737.94
"133",807.69
"134",1076.92
"135",865.38
"136",440
"137",2884.61
"138",1346.15
"139",720
"140",600
"141",830
"142",1081.08
"143",57.69
"144",600
"145",420
"146",840
"147",398.48
"148",2884.61
"149",480
"150",480
"151",205
"152",1038.46
"153",680
"154",255
"155",730
"156",600
"157",1500
"158",750
"159",2884.61
"160",1975
"161",440
"162",460
"163",300
"164",500
"165",380
"166",331.8
"167",640
"168",1000
"169",807.69
"170",1057.69
"171",595
"172",1346.15
"173",720
"174",1384.61
"175",1375
"176",450
"177",551
"178",480.76
"179",2307.69
"180",825
"181",2884.61
"182",2720
"183",480.76
"184",800
"185",1153.84
"186",1211.53
"187",1320
"188",2884.61
"189",920
"190",2884.61
"191",2000
"192",1700
"193",480
"194",576.92
"195",865.38
"196",2884.61
"197",315
"198",2884.61
"199",880
"200",1400
"201",2884.61
"202",1384.61
"203",600
"204",200
"205",507.69
"206",961.53
"207",750
"208",961
"209",530
"210",2884.61
"211",2884.61
"212",865.38
"213",175.5
"214",1800
"215",1800
"216",76
"217",1057
"218",2884.61
"219",1000
