"","x"
"1",420
"2",360
"3",540
"4",320
"5",480
"6",390
"7",360
"8",420
"9",390
"10",480
"11",420
"12",450
"13",540
"14",480
"15",405
"16",360
"17",420
"18",540
"19",420
"20",540
"21",450
"22",480
"23",570
"24",600
"25",360
"26",345
"27",420
"28",360
"29",480
"30",360
"31",330
"32",540
"33",390
"34",480
"35",480
"36",435
"37",390
"38",420
"39",360
"40",375
"41",405
"42",600
"43",450
"44",420
"45",510
"46",480
"47",450
"48",390
"49",300
"50",390
"51",420
"52",420
"53",600
"54",450
"55",460
"56",400
"57",480
"58",600
"59",450
"60",600
"61",440
"62",600
"63",450
"64",420
"65",240
"66",510
"67",480
"68",555
"69",450
"70",540
"71",390
"72",480
"73",570
"74",390
"75",480
"76",540
"77",360
"78",360
"79",400
"80",540
"81",360
"82",390
"83",450
"84",480
"85",480
"86",330
"87",420
"88",420
"89",435
"90",425
"91",465
"92",510
"93",400
"94",360
"95",435
"96",330
"97",360
"98",360
"99",390
"100",600
"101",450
"102",300
"103",450
"104",600
"105",405
"106",390
"107",510
"108",390
"109",510
"110",420
"111",540
"112",480
"113",415
"114",480
"115",390
"116",450
"117",405
"118",390
"119",450
"120",450
"121",395
"122",420
"123",540
"124",345
"125",360
"126",460
"127",420
"128",480
"129",600
"130",430
"131",390
"132",510
"133",510
"134",260
"135",630
"136",360
"137",390
"138",450
"139",390
"140",450
"141",330
"142",450
"143",480
"144",420
"145",420
"146",600
"147",360
"148",360
"149",420
"150",450
"151",423
"152",390
"153",420
"154",660
"155",420
"156",390
"157",570
"158",390
"159",630
"160",360
"161",435
"162",390
"163",540
"164",450
"165",350
"166",420
"167",420
"168",180
"169",405
"170",420
"171",420
"172",405
"173",420
"174",390
"175",510
"176",390
"177",520
"178",420
"179",450
"180",450
"181",480
"182",420
"183",480
"184",405
"185",540
"186",390
"187",390
"188",420
"189",540
"190",420
"191",480
"192",370
"193",540
"194",405
"195",405
"196",390
"197",420
"198",480
"199",540
"200",420
"201",405
"202",405
"203",600
"204",240
"205",360
"206",300
"207",480
"208",450
"209",480
"210",390
"211",360
"212",480
"213",420
"214",420
"215",300
"216",430
"217",630
"218",390
"219",390
"220",450
"221",540
"222",240
"223",330
"224",450
"225",480
"226",360
"227",480
"228",480
"229",360
"230",390
"231",420
"232",450
"233",420
"234",390
"235",630
"236",420
"237",450
"238",360
"239",390
"240",570
"241",435
"242",480
"243",380
"244",540
"245",420
"246",450
"247",450
"248",430
"249",450
"250",360
"251",420
"252",465
"253",330
"254",390
"255",420
"256",395
"257",375
"258",420
"259",480
"260",420
"261",400
"262",390
"263",540
"264",480
"265",420
"266",470
"267",420
"268",405
"269",420
"270",435
"271",420
"272",370
"273",390
"274",480
"275",390
"276",480
"277",480
"278",360
"279",360
"280",390
"281",360
"282",570
"283",450
"284",320
"285",405
"286",450
"287",420
"288",360
"289",90
"290",600
"291",300
"292",390
"293",420
"294",380
"295",480
"296",390
"297",240
"298",390
"299",360
"300",510
"301",480
"302",435
"303",345
"304",405
"305",360
"306",360
"307",390
"308",420
"309",390
"310",430
"311",480
"312",375
"313",240
"314",450
"315",390
"316",360
"317",440
"318",405
"319",480
"320",600
"321",360
"322",420
"323",570
"324",600
"325",450
"326",375
"327",435
"328",480
"329",450
"330",420
"331",405
"332",405
"333",420
"334",420
"335",480
"336",330
"337",240
"338",405
"339",360
"340",540
"341",525
"342",365
"343",510
"344",345
"345",375
"346",600
"347",420
"348",450
"349",385
"350",510
"351",480
"352",480
"353",480
"354",480
"355",600
"356",435
"357",425
"358",270
"359",450
"360",420
"361",360
"362",390
"363",390
"364",480
"365",330
"366",90
"367",600
"368",390
"369",390
"370",480
"371",405
"372",345
"373",420
"374",300
"375",430
"376",480
"377",450
"378",435
"379",450
"380",390
"381",450
"382",495
"383",480
"384",450
"385",420
"386",360
"387",480
"388",450
"389",360
"390",540
"391",390
"392",360
"393",330
"394",420
"395",720
"396",495
"397",440
"398",390
"399",480
"400",480
"401",240
"402",450
"403",407
"404",435
"405",390
"406",300
"407",390
"408",480
"409",390
"410",510
"411",365
"412",600
"413",420
"414",480
"415",480
"416",410
"417",480
"418",420
"419",420
"420",435
"421",375
"422",420
"423",405
"424",343
"425",420
"426",600
"427",390
"428",540
"429",480
"430",360
"431",480
"432",510
"433",510
"434",510
"435",510
"436",375
"437",540
"438",510
"439",420
"440",540
"441",510
"442",390
"443",350
"444",300
"445",300
"446",420
"447",555
"448",450
"449",405
"450",450
"451",420
"452",450
"453",450
"454",390
"455",360
"456",300
"457",450
"458",420
"459",380
"460",510
"461",390
"462",570
"463",495
"464",390
"465",330
"466",360
"467",420
"468",450
"469",420
"470",420
"471",420
"472",390
"473",390
"474",465
"475",420
"476",360
"477",510
"478",450
"479",370
"480",420
"481",380
"482",370
"483",440
"484",420
"485",390
"486",600
"487",390
"488",450
"489",540
"490",450
"491",465
"492",615
"493",405
"494",630
"495",420
"496",390
"497",420
"498",480
"499",480
"500",480
"501",390
"502",660
"503",525
"504",420
"505",510
"506",600
"507",720
"508",240
"509",420
"510",375
"511",435
"512",450
"513",450
"514",420
"515",480
"516",660
"517",450
"518",480
"519",390
"520",450
"521",450
"522",540
"523",540
"524",420
"525",450
"526",480
"527",630
"528",570
"529",390
"530",390
"531",660
"532",420
"533",540
"534",525
"535",450
"536",570
"537",420
"538",480
"539",420
"540",375
"541",480
"542",450
"543",330
"544",450
"545",600
"546",360
"547",480
"548",480
"549",360
"550",420
"551",570
"552",420
"553",390
"554",480
"555",420
"556",400
"557",450
"558",360
"559",540
"560",420
"561",300
"562",465
"563",480
"564",630
"565",390
"566",330
"567",540
"568",560
"569",660
"570",510
"571",540
"572",535
"573",450
"574",600
"575",435
"576",360
"577",420
"578",600
"579",540
