"","TRTFRIEND","TRTSPONLY","TRTCCC","TRTALONE","TRTFAMILY","TRCHILDNUM"
"1",0,0,0,470,0,0
"2",0,0,0,220,95,2
"3",0,0,0,425,60,0
"4",0,0,0,470,460,1
"5",0,0,0,108,30,2
"6",0,0,0,43,0,0
"7",0,0,0,667,0,0
"8",0,60,0,195,584,1
"9",0,55,31,92,55,0
"10",0,0,20,375,0,0
"11",0,0,0,870,0,0
"12",0,0,0,360,0,0
"13",0,0,0,178,215,3
"14",0,60,0,185,550,2
"15",0,0,0,620,270,0
"16",0,120,0,165,364,2
"17",0,0,38,180,75,1
"18",0,256,0,0,426,0
"19",0,171,0,94,881,3
"20",60,600,0,250,660,0
"21",0,0,0,725,0,0
"22",0,350,91,188,350,0
"23",0,196,0,672,198,0
"24",0,273,0,577,273,0
"25",0,615,0,30,615,0
"26",0,0,0,330,0,0
"27",0,0,0,1140,0,0
"28",0,100,0,145,100,0
"29",0,0,0,248,705,0
"30",0,655,0,97,685,1
"31",0,0,0,366,0,0
"32",0,0,0,1150,0,0
"33",135,0,70,495,0,0
"34",0,0,0,591,0,0
"35",0,0,0,480,0,0
"36",0,0,0,940,0,0
"37",0,492,0,150,632,0
"38",0,10,30,73,135,0
"39",170,0,0,330,200,0
"40",0,0,0,759,0,0
"41",240,0,0,0,690,0
"42",0,0,0,930,0,0
"43",0,0,0,510,0,0
"44",0,0,0,0,850,0
"45",0,0,0,493,0,0
"46",0,0,0,500,180,0
"47",0,0,49,415,0,0
"48",0,0,0,640,225,0
"49",0,0,0,60,0,0
"50",0,90,0,301,210,1
"51",0,0,0,784,0,0
"52",0,190,0,360,190,0
"53",0,0,0,500,270,0
"54",0,0,0,443,60,0
"55",0,0,120,35,684,1
"56",0,85,35,70,420,1
"57",0,60,0,145,540,2
"58",0,0,0,120,105,1
"59",0,0,0,805,95,0
"60",0,30,30,160,90,0
"61",195,0,0,621,90,0
"62",145,0,0,605,0,0
"63",0,0,0,605,105,1
"64",0,165,75,110,300,1
"65",0,280,0,0,280,0
"66",0,0,30,325,0,0
"67",0,416,0,428,476,0
"68",0,0,0,480,0,2
"69",0,60,0,545,495,2
"70",0,792,0,160,792,0
"71",0,0,0,375,0,0
"72",0,0,0,144,430,0
"73",0,240,61,381,240,0
"74",0,0,0,400,55,0
"75",0,85,0,170,327,2
"76",0,431,0,79,431,0
"77",0,0,0,50,0,0
"78",165,0,0,0,775,2
"79",0,100,0,620,100,1
"80",0,0,0,600,0,0
"81",0,0,0,624,0,0
"82",0,35,0,928,70,1
"83",0,0,0,550,348,0
"84",60,0,0,125,276,6
"85",0,320,50,145,320,2
"86",0,0,0,450,0,0
"87",0,170,0,460,290,0
"88",0,0,0,0,0,0
"89",0,60,0,0,735,5
"90",440,0,0,255,0,0
"91",580,0,0,260,0,0
"92",0,510,0,60,570,0
"93",0,0,0,210,320,2
