"popestimate2015","fips"
55347,"01001"
203709,"01003"
26489,"01005"
22583,"01007"
57673,"01009"
10696,"01011"
20154,"01013"
115620,"01015"
34123,"01017"
25859,"01019"
43943,"01021"
13170,"01023"
24675,"01025"
13555,"01027"
15018,"01029"
51211,"01031"
54354,"01033"
12672,"01035"
10724,"01037"
37835,"01039"
13963,"01041"
82005,"01043"
49565,"01045"
41131,"01047"
71130,"01049"
81468,"01051"
37789,"01053"
103057,"01055"
16759,"01057"
31696,"01059"
26777,"01061"
8479,"01063"
15068,"01065"
17221,"01067"
104173,"01069"
52419,"01071"
660367,"01073"
13886,"01075"
92596,"01077"
33115,"01079"
156993,"01081"
91663,"01083"
10458,"01085"
19105,"01087"
353089,"01089"
20028,"01091"
30168,"01093"
94725,"01095"
415395,"01097"
21673,"01099"
226519,"01101"
119565,"01103"
9652,"01105"
20864,"01107"
33046,"01109"
22696,"01111"
59660,"01113"
87074,"01115"
208713,"01117"
13103,"01119"
80862,"01121"
40844,"01123"
203976,"01125"
65294,"01127"
16804,"01129"
11059,"01131"
23877,"01133"
3341,"02013"
5702,"02016"
298695,"02020"
17946,"02050"
892,"02060"
1919,"02068"
4997,"02070"
99631,"02090"
2534,"02100"
2133,"02105"
32756,"02110"
58059,"02122"
13709,"02130"
13889,"02150"
8119,"02158"
1563,"02164"
101095,"02170"
9846,"02180"
9687,"02185"
7752,"02188"
3177,"02195"
6341,"02198"
8863,"02220"
1057,"02230"
6839,"02240"
9362,"02261"
2382,"02275"
613,"02282"
5533,"02290"
71474,"04001"
126427,"04003"
139097,"04005"
53159,"04007"
37666,"04009"
9529,"04011"
20152,"04012"
4167947,"04013"
204737,"04015"
108277,"04017"
1010025,"04019"
406584,"04021"
46461,"04023"
222255,"04025"
204275,"04027"
18433,"05001"
20838,"05003"
41053,"05005"
249672,"05007"
37222,"05009"
11094,"05011"
5229,"05013"
27704,"05015"
11027,"05017"
22633,"05019"
15109,"05021"
25467,"05023"
8311,"05025"
24114,"05027"
21019,"05029"
104354,"05031"
61703,"05033"
48963,"05035"
17284,"05037"
7604,"05039"
11965,"05041"
18778,"05043"
121552,"05045"
17702,"05047"
12204,"05049"
97177,"05051"
18102,"05053"
44196,"05055"
22084,"05057"
33426,"05059"
13300,"05061"
37052,"05063"
13445,"05065"
17338,"05067"
71565,"05069"
26141,"05071"
6996,"05073"
16779,"05075"
9650,"05077"
13820,"05079"
12472,"05081"
21714,"05083"
71645,"05085"
15767,"05087"
16185,"05089"
43908,"05091"
43738,"05093"
7399,"05095"
8970,"05097"
8558,"05099"
7913,"05101"
24358,"05103"
10189,"05105"
19513,"05107"
10824,"05109"
24040,"05111"
20216,"05113"
63390,"05115"
8291,"05117"
392664,"05119"
17469,"05121"
26589,"05123"
117460,"05125"
10513,"05127"
7869,"05129"
127780,"05131"
17290,"05133"
16912,"05135"
12456,"05137"
40144,"05139"
16771,"05141"
225477,"05143"
79161,"05145"
6741,"05147"
21713,"05149"
1638215,"06001"
1110,"06003"
37001,"06005"
225411,"06007"
44828,"06009"
21482,"06011"
1126745,"06013"
27254,"06015"
184452,"06017"
974861,"06019"
28017,"06021"
135727,"06023"
180191,"06025"
18260,"06027"
882176,"06029"
150965,"06031"
64591,"06033"
31345,"06035"
10170292,"06037"
154998,"06039"
261221,"06041"
17531,"06043"
87649,"06045"
268455,"06047"
8965,"06049"
13909,"06051"
433898,"06053"
142456,"06055"
98877,"06057"
3169776,"06059"
375391,"06061"
18409,"06063"
2361026,"06065"
1501335,"06067"
58792,"06069"
2128133,"06071"
3299521,"06073"
864816,"06075"
726106,"06077"
281401,"06079"
765135,"06081"
444769,"06083"
1918044,"06085"
274146,"06087"
179533,"06089"
2967,"06091"
43554,"06093"
436092,"06095"
502146,"06097"
538388,"06099"
96463,"06101"
63308,"06103"
13069,"06105"
459863,"06107"
53709,"06109"
850536,"06111"
213016,"06113"
74492,"06115"
491337,"08001"
16496,"08003"
631096,"08005"
12352,"08007"
3615,"08009"
5830,"08011"
319372,"08013"
65065,"08014"
18658,"08015"
1829,"08017"
9303,"08019"
8130,"08021"
3584,"08023"
5562,"08025"
4445,"08027"
29979,"08029"
